"Албуров_Георгий" "Алёхина_Мария" "Балух_Владимир" "Барабанов_Андрей" "Беглец_Данил" "Белов_Александр" "Белоусов_Ярослав" "Белых_Никита" "Беньяш_Михаил" "Борисов_Дмитрий" "Волков_Леонид" "Дадин_Ильдар" "Дмитриев_Олег" "Емельянов_Владимир" "Жуков_Егор" "Жуков_Кирилл" "Зимин_Степан" "Климов_Сергей" "Коваленко_Евгений" "Константинов_Даниил" "Косенко_Михаил" "Котляр_Татьяна" "Котов_Константин" "Кривов_Сергей" "Кутаев_Руслан" "Лесных_Егор" "Лоскутов_Артём" "Луцкевич_Денис" "Малышевский_Эдуард" "Мартинцов_Максим" "Мемедеминов_Нариман" "Милосердов_Пётр" "Миняйло_Алексей" "Мордасов_Владислав" "Мыльников_Александр" "Навальный_Алексей_(дело_ИвРоше)" "Навальный_Алексей_(дело_КировЛес)" "Навальный_Олег" "Наумова_Александра" "Новиков_Павел" "Носик_Антон" "Офицеров_Пётр" "Подкопаев_Иван" "Полихович_Андрей" "Прокопьева_Светлана" "Савелов_Артём" "Савостин_Михаил" "Самуцевич_Екатерина" "Сенцов_Олег" "Сидоров_Ян" "Синица_Владислав" "Соколов_Александр" "Соколовский_Руслан" "Титиев_Оюб" "Толоконникова_Надежда" "Устинов_Павел" "Ходорковский_Михаил_(Второе_дело)" "Ходорковский_Михаил_(Первое_дело)" "Чирцов_Никита" "Шишкин_Игорь"
"то" 1.53846153846154 0.349243306169965 0.641025641025641 0.392156862745098 0 0.82063305978898 0.531914893617021 0.738137082601054 0.595655220742817 0.570342205323194 0.475907198096371 0.72992700729927 0 1.02040816326531 0.270513976555455 0.387596899224806 0.738916256157635 0.54005400540054 0.735294117647059 0.717680147415382 0.334448160535117 0.389863547758285 0.219298245614035 0 0 0.337837837837838 0.483792936623125 0.99009900990099 0 0 0.856164383561644 0.732217573221757 0.793650793650794 1.18343195266272 0 0.829383886255924 1.0586319218241 1.07334525939177 1.6260162601626 0.975609756097561 0.751010976314269 1.43540669856459 1.0752688172043 0.177304964539007 0.131061598951507 0 0 0.54421768707483 0.809716599190283 0.87719298245614 0.433526011560694 0.691915513474144 0.878844946641557 0.440528634361233 1.29654255319149 1.02040816326531 0.470311581422693 0.491973070947695 2.4390243902439 0.740740740740741
"а" 1.1965811965812 0.465657741559953 0 1.17647058823529 0 0.82063305978898 0 0.667838312829525 1.06867554309741 0.760456273764259 0.237953599048186 0.6635700066357 0.374064837905237 0 0.631199278629396 0.775193798449612 0.246305418719212 0.63006300630063 0.735294117647059 0.737076908156338 0.668896321070234 0.389863547758285 0.43859649122807 0 0.227790432801822 0.675675675675676 0.338655055636188 0 2.89855072463768 0 0.856164383561644 0.523012552301255 0 1.77514792899408 0 0.710900473933649 0.488599348534202 0.715563506261181 1.6260162601626 0.975609756097561 0.404390525707683 0.239234449760766 0 0.531914893617021 0.262123197903014 9.09090909090909 0 0.272108843537415 0.269905533063428 0 0 0.637290604515659 0.313873195229127 0.381791483113069 0.664893617021277 0 1.2933568489124 0.906266183324702 0 0.740740740740741
"за" 0.683760683760684 0.116414435389988 2.08333333333333 0.784313725490196 0 0.351699882766706 0.265957446808511 0.562390158172232 0.648213034337772 0.760456273764259 0.713860797144557 1.06171201061712 0.124688279301746 1.02040816326531 0.901713255184851 0.775193798449612 0.492610837438424 0.36003600360036 1.47058823529412 0.3103481718553 0.501672240802676 1.16959064327485 1.09649122807018 0 1.59453302961276 0.337837837837838 0.483792936623125 0 0 0.50761421319797 0.428082191780822 1.15062761506276 0 1.18343195266272 0 0.414691943127962 0.407166123778502 0.536672629695885 1.27758420441347 1.95121951219512 0.635470826112074 0.478468899521531 2.1505376344086 0.354609929078014 0.524246395806029 0 0 0 0.67476383265857 0 1.30057803468208 0.782957028404953 0.627746390458255 1.17474302496329 0.631648936170213 2.04081632653061 0.587889476778366 0.466079751424133 0 0
"мы" 1.70940170940171 0.814901047729919 0.16025641025641 0.392156862745098 0 0.117233294255569 0.265957446808511 0.632688927943761 0.840925017519271 0.190114068441065 1.13027959547888 1.59256801592568 0.249376558603491 0 0.541027953110911 0 0.246305418719212 0.09000900090009 0 0.591601202599166 0 0.0974658869395711 0.219298245614035 0 0.455580865603645 0.675675675675676 0.145137880986938 0 0 1.01522842639594 0.342465753424658 0 0 0 3.2258064516129 1.12559241706161 1.38436482084691 0.35778175313059 0.696864111498258 0 0.231080300404391 0.717703349282297 0 0.531914893617021 0.262123197903014 0 0 0.816326530612245 0.67476383265857 0.87719298245614 0.144508670520231 0.0910415149308084 0.125549278091651 0.440528634361233 1.29654255319149 0 0.529100529100529 0.18125323666494 0 0
"к" 0.170940170940171 0.756693830034924 1.44230769230769 0.65359477124183 0 0.586166471277843 0 0.421792618629174 0.350385423966363 0.190114068441065 0.535395597858418 0.59721300597213 0.872817955112219 0 0.901713255184851 0 0.246305418719212 0.63006300630063 0.735294117647059 0.562506061487732 0.334448160535117 0.682261208576998 0 0 0.455580865603645 0 0.677310111272375 0 0 0 0.0856164383561644 0.523012552301255 0.793650793650794 0.591715976331361 6.45161290322581 0.23696682464455 1.2214983713355 0.894454382826476 0 0 0.577700751010976 0.239234449760766 1.0752688172043 0.886524822695035 0.393184796854522 0 0 0.680272108843537 0 1.75438596491228 0.578034682080925 0.436999271667881 0.313873195229127 0.734214390602056 0.831117021276596 0 0.293944738389183 0.569653029518384 0 0.740740740740741
"но" 0.341880341880342 0.523864959254948 0.16025641025641 0.65359477124183 0 0.41031652989449 0.531914893617021 0.421792618629174 0.75332866152768 0.190114068441065 0.713860797144557 0.79628400796284 0.124688279301746 0 0.360685302073941 0 0 0.27002700270027 0 0.320046552225778 0.167224080267559 0.389863547758285 0 0 0.455580865603645 0.337837837837838 0.483792936623125 0.495049504950495 0 0 1.02739726027397 0.627615062761506 1.19047619047619 1.18343195266272 0 0.770142180094787 0.651465798045603 1.07334525939177 0.813008130081301 1.46341463414634 0.519930675909879 0.478468899521531 0 0 0.262123197903014 0 0 0.136054421768707 0.944669365721997 0 0.144508670520231 0.382374362709396 0.564971751412429 0.558002936857562 0.797872340425532 0 0.352733686067019 0.310719834282755 0 0.740740740740741
"меня" 0.341880341880342 0.465657741559953 1.76282051282051 0.784313725490196 6.66666666666667 0.586166471277843 0.797872340425532 0.351493848857645 0.385423966362999 0.380228136882129 0.475907198096371 0.86264100862641 0.124688279301746 1.02040816326531 0.18034265103697 1.93798449612403 0.492610837438424 0.36003600360036 0 0.252157889632431 0.334448160535117 0.487329434697856 0.657894736842105 0 1.59453302961276 1.35135135135135 0.725689404934688 0.495049504950495 1.44927536231884 1.52284263959391 0.599315068493151 0.313807531380753 1.19047619047619 1.18343195266272 3.2258064516129 0.829383886255924 0.651465798045603 0 0.232288037166086 1.46341463414634 0.462160600808781 0.478468899521531 0 0 0.917431192660551 0 2.77777777777778 0.136054421768707 0 0 0.289017341040462 0.0546249089584851 1.25549278091651 0.411160058737151 0.0997340425531915 1.02040816326531 0.235155790711346 0.828586224754013 2.4390243902439 0.740740740740741
"о" 0.170940170940171 0.291036088474971 0.480769230769231 0 0 0.468933177022274 0.797872340425532 0.456942003514938 0.262789067974772 0.380228136882129 0.416418798334325 0.13271400132714 0.498753117206983 0 0 1.16279069767442 0.246305418719212 0.63006300630063 0 0.543109300746775 0 0.292397660818713 0.43859649122807 0 0.683371298405467 0 0.870827285921626 0.99009900990099 0 0 0.428082191780822 1.35983263598326 0.793650793650794 0.591715976331361 0 0.0592417061611374 0.407166123778502 0.178890876565295 0 0 0.751010976314269 2.15311004784689 1.0752688172043 0.177304964539007 0.262123197903014 0 2.77777777777778 0.680272108843537 0.134952766531714 0 0.578034682080925 0.637290604515659 0.627746390458255 0.293685756240822 0.43218085106383 0 0.293944738389183 0.543759709994821 0 0
"все" 0.341880341880342 0.349243306169965 1.6025641025641 0.522875816993464 0 0.117233294255569 0.531914893617021 0.492091388400703 0.140154169586545 0 0.178465199286139 0.46449900464499 0 1.02040816326531 0.991884580703336 1.16279069767442 0.738916256157635 0.27002700270027 0 0.193967607409563 0 0 0.219298245614035 0 0.455580865603645 1.68918918918919 0.338655055636188 1.98019801980198 0 0.50761421319797 1.02739726027397 0.209205020920502 0 0.591715976331361 0 0.23696682464455 1.2214983713355 0.715563506261181 1.04529616724739 0.48780487804878 0.346620450606586 1.19617224880383 0 0.354609929078014 0.393184796854522 0 0 0.816326530612245 0.809716599190283 0 0.144508670520231 0.200291332847779 0.439422473320778 0.763582966226138 0.86436170212766 1.02040816326531 0.823045267489712 0.569653029518384 0 1.48148148148148
"у" 0.170940170940171 0.465657741559953 0.320512820512821 0 6.66666666666667 0.41031652989449 0.265957446808511 0.31634446397188 0.543097407147863 0.380228136882129 0.356930398572278 0.26542800265428 0.124688279301746 0 0.0901713255184851 0.775193798449612 0.492610837438424 0.18001800180018 0.735294117647059 0.368538454078169 0.334448160535117 1.07212475633528 0.43859649122807 0 0.911161731207289 0.337837837837838 0.241896468311563 0 0 0.50761421319797 0.428082191780822 0.104602510460251 1.58730158730159 1.77514792899408 3.2258064516129 0.710900473933649 0.162866449511401 0.894454382826476 0.580720092915215 0.975609756097561 0.288850375505488 1.19617224880383 1.0752688172043 0.709219858156028 0.262123197903014 0 0 0.272108843537415 0.539811066126856 0 0.867052023121387 0.0728332119446468 0.753295668549906 0.616740088105727 0.199468085106383 0 0.646678424456202 0.310719834282755 2.4390243902439 0
